feature,construct,items_source,scoring,interpretation
1_Trust-Integrity,Trust and integrity orientation,11 trust-related items,"Mean of 11 Likert items; standard items scored $-$3 to $+$3; reverse-coded items reversed before averaging","Higher = stronger trust in others, honesty, kindness, and interpersonal integrity"
2_Emotion-Coping,Emotion regulation and coping,12 emotion/coping items,Mean of 12 Likert items after reverse coding,Higher = stronger adaptive emotion regulation and coping tendency
3_Social-self,Social self-expression and interpersonal self-orientation,15 social/self-expression items,Mean of 15 Likert items after reverse coding,"Higher = stronger social openness, self-expression, and interpersonal engagement"
4_food/cuisine,Daily novelty/familiarity in food choices,1 daily-life behavior item,"$-$3 = Always New, 0 = Intermediate, $+$3 = Familiar","Higher = more familiar food choices; lower = more novel food choices"
4_places/activities,Daily novelty/familiarity in places and activities,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar places/activities; lower = more novel places/activities"
4_movies or videos,Daily novelty/familiarity in media choices,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar movies/videos; lower = more novel media choices"
4_restaurant,Daily novelty/familiarity in restaurant choices,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar restaurant choices; lower = more novel restaurant choices"
4_clothes,Daily novelty/familiarity in clothing choices,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar clothing choices; lower = more novel clothing choices"
4_digital games,Daily novelty/familiarity in digital games,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar game choices; lower = more novel game choices"
4_books or magazines,Daily novelty/familiarity in reading choices,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar reading choices; lower = more novel reading choices"
4_snacks or treats,Daily novelty/familiarity in snack choices,1 daily-life behavior item,$-$3 to $+$3 novelty/familiarity coding,"Higher = more familiar snack choices; lower = more novel snack choices"
4_NF-daily,Overall daily novelty/familiarity tendency,Mean of 8 daily-life domains,Mean of the 8 \texttt{4\_} daily behavior items,"Higher = stronger familiarity-seeking in daily life; lower = stronger novelty-seeking"
4_1_N-affect_daily,Self-reported lifestyle impact of novelty-seeking,"2 past-six-month items: novelty-seeking made life more positive/active; novelty-seeking made life more resilient against negative situations",Mean of the 2 novelty-seeking impact items scored $-$3 to $+$3,Higher = stronger self-reported positive lifestyle impact of novelty-seeking
4_2_F-affect_daily,Self-reported lifestyle impact of familiarity-seeking,"2 past-six-month items: familiarity-seeking made life more positive/active; familiarity-seeking made life more resilient against negative situations",Mean of the 2 familiarity-seeking impact items scored $-$3 to $+$3,Higher = stronger self-reported positive lifestyle impact of familiarity-seeking
5_Social-oppo-group,Social opportunity and group mobility,"12 items about meeting people, social options, and group choice",Mean of 12 Likert items after reverse coding,Higher = greater perceived social opportunity and freedom to choose social groups
6_Other-social,Perceived social environment of others,12 items about people the respondent regularly interacts with,Mean of 12 Likert items after reverse coding,Higher = respondent perceives surrounding others as having more social opportunity and mobility
7_Personal_resp-self_disp,Personal responsibility and self-discipline,19 responsibility/self-discipline items,Mean of 19 Likert items after reverse coding,"Higher = stronger responsibility, persistence, and self-discipline"
8_Communi_Family,Community and family engagement,14 community/family items,Mean of 14 Likert items scored $-$3 to $+$3,Higher = stronger family/community connection and engagement
9_Growth_Reflect,Personal growth and self-reflection,16 personal growth/reflection items,Mean of 16 Likert items after reverse coding,Higher = stronger growth orientation and reflective tendency
10_Flow-attitude,General flow orientation,12 flow-related items,Mean of 12 Likert items after reverse coding,"Higher = stronger positive attitude, desire, and tendency toward flow-like experiences"
10_Flow_belief_tendency,Belief/value placed on flow,First 4 flow items,Mean of 4 scored flow items,Higher = stronger belief that flow is valuable or meaningful
10_Flow_desire_tendency,Desire for flow,One flow-related desire item,Single Likert item scored $-$3 to $+$3,Higher = stronger desire to experience flow
10_Flow_real_tendency,Actual flow experience tendency,2 flow-experience items,Mean of 2 scored flow items,Higher = more reported real-life flow experience
11_Self_percept-worth,Self-perception and self-worth,10 self-worth items,Mean of 10 Likert items after reverse coding,Higher = stronger positive self-perception and self-worth
12_Negative_Capability,Negative capability / adaptive tolerance of uncertainty,"9 negative-capability items; Experiments 3--5 only",Mean of 9 Likert items scored $-$3 to $+$3,"Higher = stronger ability to tolerate uncertainty, difficulty, or ambiguity and respond adaptively"
AQ_score,Autism-spectrum trait score,50 Autism-Spectrum Quotient items,"Binary scoring per item, then summed; each item scored 0 or 1",Higher = stronger autistic-trait tendency
Maemuki_score,Broad positive/forward psychological orientation,"Composite of 9 subscales: 1, 2, 3, 5, 6, 7, 8, 9, and 11",Mean of the 9 questionnaire subscale scores,"Higher = more positive, socially engaged, self-directed, and forward-looking psychological profile"
